,cleaned_tweets,nilai,sentimen
0,negara wkwkwland memang suka bikin acara tidak jelas buang anggaran orang kena korona di depok city pas sembuh dirayain dipikir korona langsung hilang kali,-1,netral
1,pemerintah kota depok mencatat ada kasus baru covid pasien pulih dan sembilan warga meninggal akibat covid dalam sehari,3,positif
2,wakil wali kota depok imam budi hartono berharap jawa barat culture and tourism festival jafest dapat membantu memulihkan ekonomi di masa pandemi covid terutama pada sektor industri pariwisata,5,positif
3,corona hilang saya samperin kamu ke depok bil,-8,negatif
4,selama covid stok darah di pmi kota depok tidak pernah ideal,-3,negatif
5,antara badan keuangan daerah dan kecamatan di kota depok dengan tetap menerapkan protokol kesehtatan covid bahwa dalam kesempatan ini pula badan keuangan daerah dan kecamatan di kota depok mengapresiasi kinerja kejaksaan negeri depok beserta jajaran terhadap pelayanan,2,netral
6,vial vaksin covid tahap kedua kembali tiba di depok,4,positif
7,cgv bogor dimohon untuk buka kembali supaya saya tidak jauh jauh mainnyan ke sekitar depok lagi ibu bapak karena saya masih takut sama covid sekian terimacash,-22,negatif
8,hampir tidak pernah keluar rumah salam covid apalagi naik motor sekalinya naik motor kamu mana ke depok pula jalanan gronjal granjil w hampir terbang dari motor,-11,negatif
9,fase pandemi covid pemerintah kota depok keluarkan lima kebijakan penyesuaian pemulihan perekonomian warga,-3,negatif
10,hingga kini akumulasi kasus covid di kota depok mencapai kasus,1,netral
11,satgas covid depok nyatakan tidak ada rt zona merah dan oranye,2,netral
12,maaf ikut serta bang betul banget bank bni banyak yang suka libur dadakan alasannya korona dan psbb dki padahal cabangnya ada di jantung kota depok saya ketawain saja sebulan buka minggu tutup hampir semua cab di depok begitu,3,positif
13,positif corona depok bertambah orang,-2,negatif
14,kasus aktif covid di depok kini berjumlah pasien yang masih harus menjalani isolasi dan perawatan bertambah dibandingkan kemarin,-8,negatif
15,depok serem ada corona,-2,negatif
16,wah antum jarang lewat pondok cabe kalau sabtu siang sebelum ketika dan setelah corona psbb itu poncab ramai melulu perasaan kan anak tangsel nyerempet depok imun kuwat,-1,netral
17,wali kota depok mohammad idris mengizinkan bioskop dan tempat permainan ketangkasan hingga pameran umkm beroperasi kembali pada masa psbb proporsional juru bicara satgas penanganan covid kota depok dadang wihana mengatakan kebijakan ini diambil untu,4,positif
18,teladanilah dalam memberikan vaksinasi covid di rsud depok bagi karyawan bank sebab karyawan bank adalah pelayan publik ber risiko tinggi dalam sektor penting penggerak ekonomi aturlah vaksinasi covid bagi karyawan bank di jakarta,32,positif
19,satgas covid sebut tidak ada rt di depok masuk zona merah atau oranye juru bicara satuan tugas penanganan covid kota depok dadang wihana mengatakan untuk zonasi rt berdasarkan parameter ppkm pemberlakuan pembatasan kegiatan masyarakat berskala,-1,netral
20,pemerintah kota depok mencatat kasus baru covid jumat terbanyak dalam hari terakhir,4,positif
21,bhabinkamtibmas dan babinsa kalurahan maguwoharjo depok sleman melaksanakan pendampingan petugas satgas covid ppkm mikro melakukan penyemprotan disinfektan oleh tim pmi di padukuhan maguwo depok sleman untuk mencegah penyebaran virus covid,-20,negatif
22,saya indonesia dan saya sudah di vaksin nasicovid puskesmas depok,1,netral
