id,date,username,tweet
1365548517939236864,2021-02-27,dharmabaktipadz,"Gasss besok beli... 😋  📌 : Jl. Rajawali depan Lagani Coffe waktu siang, biasanya sore pindah ke Jl. komp. colombo depan puskesmas depok 3 🕓 : 10.30-05.00  #DharmabaktiPadmanaba #DharmabaktiPadz #LivingForCaring #CaringForLiving #TanLalana! #kakilimajogja"
1365220869245530115,2021-02-26,wahyusekarrr,@driedpineflowrs Puskesmas Depok ada sister
1364759063888855043,2021-02-25,pkm_sukatani,"Pemeriksaan jentik berkala di RT 002 RW 006 kelurahan sukatani oleh ibu @yuyunandiyana ,Amd.Kel  #pemeriksaanjentik  #jentiknyamuk  #kesling  #keslingindonesia @ Puskesmas Sukatani Kec Tapos Kota Depok  https://t.co/kS0uU9RMa0"
1364031160007806976,2021-02-23,mommykenzo1,@caramachi12 @Lifefater01 @jamaisbooh @AREAJULID Puskesmas Depok adanya dokter gigi biasa mbak... katanya buat anak jga
1363404490087358464,2021-02-21,shayaran01,"@Billy_Rania @PelatihMolor Tgl 6 Feb ane rapid antigen, Positif, tgl 8 Feb pcr, Positif. Ane info ke pak RT, di teruskan ke puskesmas, trus pihak puskesmas info ke ane utk dirujuk ke wisma makara UI tgl 9 feb, sementara kontak erat yg dirumah, di jadwal utk pcr hari rabu tgl 10 Feb. Itu depok tanah baru."
1363324205152882693,2021-02-21,derryharukaze,"@pemkotdepok @Billy_Rania kalo tanpa gejala juga gak di kasih obat obatan dari puskesmas sama kaya temen gua, Emang payah bet kota depok dalam penanganan kovid 😫😫"
1363308395126661122,2021-02-21,gunartoigoen,@Billy_Rania Lapor RT setempat... di Depok setiap RW ada satgas covidny nanti pa RT koordinasi dg satgas RW di teruskan le puskesmas dan dinkes Depok...
1363154848011612160,2021-02-20,vieyutipul,"@Askrlfess Coba ke puskesmas beji depok (kalau kamu dom jabodetabek) disitu suka ada anak s2 ui yang praktek biasanya dan biayanya murah nder, malah waktu itu cuma biaya daftar puskesmas nya aja 7k '-' itu jaman sebelum pandemi ya, gatau kalo pandemi gini ada praktek atau ga :("
1363005042106589184,2021-02-20,halodepokcom,Daftar Puskesmas Kota Depok 24 Jam Lengkap dengan Alamat dan Nomor Telepon @pemkotdepok @dinkeskotadepok @depokdiskominfo    https://t.co/LHkUqZpVRt
1362974288622493698,2021-02-20,andrekelv,"@dayatia Peran puskesmas emg ada tp terbatas, buktinya salah satu puskesmas di depok swab cm 2 kali seminggu, itupun dijatah sampe 50 orang doangan hahaha"
1362634591706640387,2021-02-19,pkm_sukatani,Baru saja mengirim foto @ Puskesmas Sukatani Kec Tapos Kota Depok  https://t.co/xJAGISOkWP
1362575823274844162,2021-02-19,ayamibuida,"Alhamdulillah sarapan untuk Puskesmas II Depok sudah terbagikan ya Teman-Teman 💕💕 setelah ini kami bagi-bagi keliling Jogja yaaa. Terima kasih Teman-Teman semuanya. Semoga panjang usia, lancar rezeki.  https://t.co/O0XbUjBMtA"
1362575797706399744,2021-02-19,ayamibuida,Kita udah sampai ke Puskesmas II Depok  https://t.co/R9FkHF3KOs
1362560901522599936,2021-02-19,ayamibuida,2. Berbagi Sarapan dengan Puskesmas II Depok &amp; nasi berkah Jumat (55 porsi)  Semoga usahanya dimudahkan buat teman-teman semua yaaa 💕💕🥺🥺🙏🏻🙏🏻  https://t.co/xng80ylmlT
1362551754374615040,2021-02-19,ayamibuida,✨UPDATE DONASI PUSKESMAS II DEPOK &amp; NASI BERKAH JUMAT 19-2-2021✨  1. Preparing~  https://t.co/GxEc12dQXY
1362179927265607682,2021-02-18,ayamibuida,Jadi besok kami insya Allah akan menyampaikan amanah teman-teman berbagi sarapan di Puskesmas Depok II dan membagi-bagikan nasi berkah untuk saudara-saudara kita yang membutuhkan di sepanjang jalan di Jogja
